transaction_id,item,quantity,price_per_unit,total_spent,payment_method,location,transaction_date
TXN_1000555,Tea,1,1.5,1.5,"Credit Card",In-store,2023-10-19
TXN_1001832,Salad,2,5.0,10.0,Cash,Takeaway,UNKNOWN
TXN_1002457,Cookie,5,1.0,5.0,"Digital Wallet",Takeaway,2023-09-29
TXN_1003246,Juice,2,3.0,6.0,NULL,NULL,2023-02-15
TXN_1004184,Smoothie,1,4.0,4.0,"Credit Card",In-store,2023-05-18
TXN_1004563,Tea,5,1.5,7.5,"Credit Card",In-store,2023-10-28
TXN_1005331,Coffee,1,2.0,2.0,"Digital Wallet",Takeaway,2023-11-04
TXN_1005377,Cake,5,UNKNOWN,15.0,"Digital Wallet",Takeaway,2023-06-03
TXN_1005472,Coffee,4,2.0,8.0,"Credit Card",NULL,2023-04-21
TXN_1006942,Salad,1,5.0,5.0,"Credit Card",In-store,2023-11-30
TXN_1007347,Salad,4,5.0,20.0,"Digital Wallet",In-store,2023-08-28
TXN_1009421,Cookie,4,1.0,4.0,Cash,Takeaway,2023-02-21
TXN_1010950,Cookie,ERROR,1.0,1.0,"Digital Wallet",Takeaway,2023-01-07
TXN_1011236,Cake,1,3.0,3.0,Cash,In-store,2023-02-08
TXN_1012349,UNKNOWN,4,3.0,12.0,Cash,In-store,2023-07-08
TXN_1015883,Cookie,4,1.0,4.0,Cash,In-store,2023-10-16
TXN_1016246,Coffee,1,2.0,2.0,ERROR,NULL,2023-01-19
TXN_1018470,Juice,3,3.0,9.0,NULL,ERROR,2023-01-14
TXN_1018880,Smoothie,5,4.0,20.0,"Digital Wallet",NULL,2023-07-15
TXN_1020478,Coffee,1,2.0,2.0,"Digital Wallet",Takeaway,2023-03-09
TXN_1020983,Juice,1,3.0,3.0,"Digital Wallet",NULL,2023-03-23
TXN_1021087,Sandwich,1,4.0,4.0,NULL,ERROR,2023-11-01
TXN_1022126,Tea,ERROR,1.5,4.5,NULL,UNKNOWN,UNKNOWN
TXN_1022220,Juice,3,3.0,9.0,NULL,Takeaway,2023-08-03
TXN_1022523,Salad,4,5.0,20.0,Cash,In-store,2023-11-25
TXN_1025152,Cookie,4,1.0,4.0,NULL,NULL,2023-08-19
TXN_1026050,Cake,1,3.0,3.0,ERROR,NULL,2023-04-23
TXN_1026799,Cake,5,3.0,15.0,"Credit Card",NULL,UNKNOWN
TXN_1026827,Cookie,4,1.0,4.0,"Digital Wallet",In-store,2023-01-02
TXN_1030539,Cake,3,3.0,9.0,NULL,Takeaway,2023-11-06
TXN_1031802,Cookie,4,1.0,4.0,ERROR,UNKNOWN,2023-06-27
TXN_1034067,Smoothie,3,NULL,12.0,"Digital Wallet",NULL,2023-01-07
TXN_1034651,Sandwich,3,4.0,12.0,NULL,Takeaway,2023-07-06
TXN_1034956,Sandwich,4,4.0,16.0,Cash,In-store,ERROR
TXN_1035504,Smoothie,2,4.0,8.0,"Digital Wallet",Takeaway,2023-03-30
TXN_1037464,UNKNOWN,5,4.0,20.0,"Digital Wallet",NULL,2023-02-14
TXN_1037486,Salad,5,5.0,25.0,"Digital Wallet",In-store,NULL
TXN_1038397,Cookie,3,1.0,3.0,NULL,In-store,2023-05-20
TXN_1039367,Sandwich,3,4.0,NULL,Cash,NULL,2023-03-12
TXN_1040764,Coffee,3,2.0,6.0,Cash,Takeaway,2023-07-27
TXN_1041891,Cookie,5,1.0,5.0,NULL,NULL,2023-08-09
TXN_1045022,Sandwich,4,4.0,16.0,"Credit Card",Takeaway,2023-10-13
TXN_1046384,Smoothie,1,4.0,4.0,Cash,UNKNOWN,2023-06-09
TXN_1046394,Smoothie,1,4.0,4.0,Cash,In-store,2023-04-29
TXN_1046659,Smoothie,3,4.0,12.0,NULL,Takeaway,2023-12-14
TXN_1047204,Cookie,3,1.0,3.0,"Digital Wallet",UNKNOWN,2023-04-13
TXN_1047450,Coffee,2,2.0,4.0,Cash,In-store,2023-11-19
TXN_1048284,Salad,2,5.0,10.0,Cash,In-store,2023-08-19
TXN_1048616,Tea,1,1.5,NULL,Cash,NULL,2023-10-10
TXN_1049697,Tea,3,UNKNOWN,4.5,Cash,In-store,2023-10-08
TXN_1050083,Cake,5,3.0,15.0,"Credit Card",Takeaway,2023-06-28
TXN_1050323,Juice,1,3.0,3.0,NULL,In-store,2023-03-10
TXN_1054912,Sandwich,3,4.0,12.0,Cash,NULL,2023-08-02
TXN_1054915,NULL,5,1.0,5.0,NULL,In-store,2023-01-22
TXN_1056256,Cake,4,3.0,12.0,UNKNOWN,In-store,2023-12-04
TXN_1056277,Cookie,UNKNOWN,1.0,5.0,NULL,NULL,2023-02-06
TXN_1057209,UNKNOWN,5,1.0,5.0,"Credit Card",In-store,2023-09-17
TXN_1057760,Juice,4,3.0,12.0,"Credit Card",Takeaway,2023-02-20
TXN_1058466,Cookie,3,1.0,3.0,"Digital Wallet",Takeaway,2023-12-07
TXN_1058927,Sandwich,4,4.0,16.0,Cash,NULL,2023-07-08
TXN_1058957,Juice,2,3.0,6.0,Cash,In-store,2023-03-21
TXN_1059293,UNKNOWN,5,4.0,20.0,UNKNOWN,NULL,2023-12-04
TXN_1062822,Juice,UNKNOWN,3.0,6.0,"Credit Card",NULL,2023-06-28
TXN_1063342,Sandwich,5,4.0,20.0,NULL,In-store,2023-01-13
TXN_1063366,Juice,3,3.0,9.0,NULL,UNKNOWN,2023-03-20
TXN_1063524,Smoothie,5,4.0,20.0,"Credit Card",NULL,2023-11-09
TXN_1064565,Juice,4,3.0,12.0,"Digital Wallet",In-store,2023-03-14
TXN_1065721,Sandwich,4,4.0,16.0,Cash,Takeaway,2023-12-06
TXN_1066604,Sandwich,5,4.0,20.0,"Credit Card",NULL,2023-05-18
TXN_1067052,Tea,4,1.5,6.0,NULL,Takeaway,2023-02-18
TXN_1068317,Juice,3,3.0,ERROR,"Digital Wallet",Takeaway,2023-03-16
TXN_1072232,Sandwich,1,4.0,4.0,"Digital Wallet",In-store,2023-01-07
TXN_1072678,Juice,2,3.0,UNKNOWN,Cash,NULL,2023-05-30
TXN_1072984,Tea,4,1.5,6.0,"Digital Wallet",NULL,2023-01-11
TXN_1074435,Coffee,1,2.0,2.0,NULL,In-store,2023-11-25
TXN_1075183,Tea,2,1.5,3.0,"Credit Card",NULL,2023-01-09
TXN_1075446,Cookie,4,1.0,4.0,"Credit Card",NULL,2023-07-17
TXN_1075969,Cookie,2,1.0,2.0,"Digital Wallet",ERROR,2023-08-13
TXN_1077060,Coffee,3,2.0,6.0,NULL,Takeaway,2023-08-22
TXN_1077129,Cookie,1,1.0,1.0,NULL,In-store,2023-09-12
TXN_1079239,Smoothie,1,NULL,4.0,NULL,Takeaway,2023-02-08
TXN_1079241,Juice,3,3.0,9.0,"Digital Wallet",Takeaway,2023-07-16
TXN_1079844,Salad,2,5.0,10.0,"Digital Wallet",NULL,2023-10-27
TXN_1080377,Cake,2,3.0,6.0,ERROR,NULL,2023-04-08
TXN_1080432,Salad,2,5.0,10.0,"Credit Card",In-store,2023-04-29
TXN_1082012,Smoothie,5,4.0,20.0,"Credit Card",NULL,2023-01-04
TXN_1082421,Salad,1,5.0,5.0,"Digital Wallet",In-store,2023-12-19
TXN_1082717,ERROR,UNKNOWN,NULL,9.0,"Digital Wallet",In-store,2023-12-13
TXN_1084010,Smoothie,2,4.0,8.0,"Credit Card",In-store,2023-08-11
TXN_1084222,Coffee,4,2.0,8.0,"Digital Wallet",In-store,2023-06-03
