DQA Dimension,Table Name,Column Name,Error Type,Count,Description
Completeness,Raw_cafe,Transaction_ID,None,0,Clean
Completeness,Raw_cafe,Item,Blank value,333,Blanks were found in this column
Completeness,Raw_cafe,Quantity,Blank value,138,Blanks were found in this column
Completeness,Raw_cafe,Price_Per_Unit,Blank value,179,Blanks were found in this column
Completeness,Raw_cafe,Total_Spent,Blank value,173,Blanks were found in this column
Completeness,Raw_cafe,Payment_Method,Blank value,2579,Blanks were found in this column
Completeness,Raw_cafe,Location,Blank value,3265,Blanks were found in this column
Completeness,Raw_cafe,Transaction_Date,Blank value,159,Blanks were found in this column
Uniqueness,Raw_cafe,Transaction_ID,None,0,Clean
Uniqueness,Raw_cafe,Item,None,0,Clean
Uniqueness,Raw_cafe,Quantity,None,0,Clean
Uniqueness,Raw_cafe,Price_Per_Unit,None,0,Clean
Uniqueness,Raw_cafe,Total_Spent,None,0,Clean
Uniqueness,Raw_cafe,Payment_Method,None,0,Clean
Uniqueness,Raw_cafe,Location,None,0,Clean
Uniqueness,Raw_cafe,Transaction_Date,None,0,Clean
Consistency,Raw_cafe,Transaction_ID,None,0,Clean
Consistency,Raw_cafe,Item,Inconsistency value,344,"Invalid value ""UNKNOWN"""
Consistency,Raw_cafe,Item,Inconsistency value,292,"Invalid value ""ERROR"""
Consistency,Raw_cafe,Quantity,Inconsistency value,171,"Invalid value ""UNKNOWN"""
Consistency,Raw_cafe,Quantity,Inconsistency value,170,"Invalid value ""ERROR"""
Consistency,Raw_cafe,Price_Per_Unit,Inconsistency value,164,"Invalid value ""UNKNOWN"""
Consistency,Raw_cafe,Price_Per_Unit,Inconsistency value,190,"Invalid value ""ERROR"""
Consistency,Raw_cafe,Total_Spent,Inconsistency value,165,"Invalid value ""UNKNOWN"""
Consistency,Raw_cafe,Total_Spent,Inconsistency value,164,"Invalid value ""ERROR"""
Consistency,Raw_cafe,Payment_Method,Inconsistency value,293,"Invalid value ""UNKNOWN"""
Consistency,Raw_cafe,Payment_Method,Inconsistency value,306,"Invalid value ""ERROR"""
Consistency,Raw_cafe,Location,Inconsistency value,338,"Invalid value ""UNKNOWN"""
Consistency,Raw_cafe,Location,Inconsistency value,358,"Invalid value ""ERROR"""
Consistency,Raw_cafe,Transaction_Date,Inconsistency value,159,"Invalid value ""UNKNOWN"""
Consistency,Raw_cafe,Transaction_Date,Inconsistency value,142,"Invalid value ""ERROR"""
Accuracy,Raw_cafe,Transaction_ID,None,0,Clean
Accuracy,Raw_cafe,Item,None,0,Clean
Accuracy,Raw_cafe,Quantity,Imputed value,441,Imputed missing value
Accuracy,Raw_cafe,Price_Per_Unit,Imputed value,495,Imputed missing value
Accuracy,Raw_cafe,Total_Spent,Imputed value,462,Imputed missing value
Accuracy,Raw_cafe,Payment_Method,None,0,Clean
Accuracy,Raw_cafe,Location,None,0,Clean
Accuracy,Raw_cafe,Transaction_Date,None,0,Clean
